asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,power_setup,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
POL,2025-12-21 13:00:00+00:00,0.1059,-1.0,0.10341406000483026,0.10660986096390193,4552.630183081125,3.0,0.9597352147102356,3.502,True,2025-12-26 17:00:00+00:00,2025-12-21 14:00:00+00:00,0.10660986096390193,sl,-36.435269568987714,8
APT,2025-12-21 13:00:00+00:00,1.56,-1.0,1.5049961308155357,1.5757063725083815,4552.630183081125,3.0,0.9560738205909729,3.502,True,2025-12-26 17:00:00+00:00,2025-12-21 16:00:00+00:00,1.5757063725083815,sl,-51.75515356388565,8
ATOM,2025-12-21 13:00:00+00:00,1.91,-1.0,1.8673279591380312,1.922185014970915,2428.0694309766,2.0,0.9104909300804138,3.502,False,2025-12-26 17:00:00+00:00,2025-12-21 16:00:00+00:00,1.922185014970915,sl,-18.646575269102613,8
APT,2025-12-25 05:00:00+00:00,1.68,-1.0,1.6246046442021231,1.6958181616365549,4418.364985731984,3.0,0.9643958210945129,3.502,True,2025-12-30 09:00:00+00:00,2025-12-25 22:00:00+00:00,1.6246046442021231,tp,141.2702662223062,8
FIL,2025-12-25 22:00:00+00:00,1.228,-1.0,1.1806301197770805,1.2415264845089975,4550.805860315396,3.0,0.9991917014122009,3.502,True,2025-12-31 02:00:00+00:00,2025-12-26 02:00:00+00:00,1.2415264845089975,sl,-56.04341323161142,8
DOT,2025-12-25 23:00:00+00:00,1.685,-1.0,1.642132215831325,1.697240909535002,4550.805860315396,3.0,0.9984217882156372,3.502,True,2025-12-31 03:00:00+00:00,2025-12-26 02:00:00+00:00,1.697240909535002,sl,-38.97598996112678,8
HBAR,2025-12-26 10:00:00+00:00,0.11655,-1.0,0.11263317643280737,0.1176684502273762,4461.7251698222035,3.0,0.9538314342498779,3.502,True,2025-12-31 14:00:00+00:00,2025-12-26 14:00:00+00:00,0.11263317643280737,tp,145.48070550796524,8
ICP,2025-12-26 16:00:00+00:00,2.941,-1.0,2.8172506279380074,2.9763366729305094,3448.584998426941,3.0,0.995353102684021,3.502,True,2025-12-31 20:00:00+00:00,2025-12-26 18:00:00+00:00,2.9763366729305094,sl,-45.91856347737519,8
APT,2025-12-27 11:00:00+00:00,1.732,-1.0,1.6895237024447374,1.7441291204068283,3644.051742380706,3.0,0.9432951807975769,3.502,False,2026-01-01 15:00:00+00:00,2025-12-27 14:00:00+00:00,1.7441291204068283,sl,-30.256402572282095,8
DOT,2025-12-27 15:00:00+00:00,1.802,-1.0,1.7593279591380315,1.814185014970915,4526.699300564368,3.0,0.9527454376220703,3.502,True,2026-01-01 19:00:00+00:00,2025-12-27 17:00:00+00:00,1.814185014970915,sl,-36.493975875532556,8
FIL,2025-12-27 21:00:00+00:00,1.289,-1.0,1.2529832315660447,1.2992845997919649,4492.486198181056,3.0,0.9844862818717957,3.502,True,2026-01-02 01:00:00+00:00,2025-12-27 22:00:00+00:00,1.2992845997919649,sl,-41.68462509038812,8
DOT,2025-12-27 21:00:00+00:00,1.881,-1.0,1.8246259276685919,1.8970976344569888,4492.486198181056,3.0,0.9608294367790222,3.502,True,2026-01-02 01:00:00+00:00,2025-12-27 23:00:00+00:00,1.8970976344569888,sl,-44.287016013715,8
FIL,2025-12-27 22:00:00+00:00,1.31,-1.0,1.2681109323648565,1.321961436714568,4453.406862158817,3.0,0.9608628153800964,3.502,True,2026-01-02 02:00:00+00:00,2025-12-28 03:00:00+00:00,1.321961436714568,sl,-46.45289788716931,8
